,0,neg,neu,pos
76,['Tremendous how after that god awful trade war and that the cost is goin up I dont see anything good about that  20190130 23012600000'],0.306,0.625,0.069
77,['Trumps Trade War With China Makes Russia Great Again  via CFRorg20190130 23001400000'],0.217,0.556,0.228
78,['Until this issue is settled the Fed is likely to move very slowly as a fullout trade war could send the world economy into recession  FederalReserve economy interestrates20190130 23000000000'],0.205,0.795,0.0
79,['Another victim of the allout US vs China trade war Foxconn may drop plans to build flat screens in Wisconsin CNN 22572400000'],0.299,0.701,0.0
80,['realDonaldTrump Nailed It   now lets end the TradeWar ATH 20190130 22570000000'],0.0,1.0,0.0
81,['Failed to release taxes Failed to denuke North Korea Failed to win trade war Failed to keep jobs in the US Lowest economy in December since the Great Depression Under 17 investigations Longest govt shutdown Failed to have Mexico pay for wall Failed to replace Obamacare More20190130 22560700000'],0.385,0.507,0.108
82,['Seems theres a certain amount of looting going on Maybe GOP got the idea from the Russians The US Treasury is borrowing 1 TRILLION But no problem The ber rich got a monster tax break Meanwhile our middle class is losing healthcare and paying for POTUSs trade war20190130 22525700000'],0.169,0.694,0.136
83,['The trade war created uncertainty Uncertainty leads to businesses doing nothing so as not to do the wrong thing Big business will make investments once the uncertainty is gone Tax cut will still be a positive20190130 22520700000'],0.345,0.613,0.042
84,['It was higher last year before you screwed up and started a trade war Perhaps I should celebrate having 10k in the bank I had 100k last year but success is all about the presentation right20190130 22505600001'],0.108,0.715,0.176
85,['Trade War Had No Material GDP Effect On Either Country Trumps trade war has been working and the Chinese economy has been feeling the effects of it Out of curiosity Im going to check out the numbers on China but on its face it seems like BS20190130 22493100000'],0.12,0.796,0.083
86,['Apple Says Profits Were Flat Citing Slump in China  WallStreet TradeWar pictwittercom7EMNoJSr3r20190130 22480200001'],0.0,0.805,0.195
87,['Hopefully this might help offset the huge loses to our retirement funds after your foolish trade war with China Unless you come to your senses our retirement funds will once again crash if you restart your trade war with China in March There go our retirement funds pictwittercomSDkxgvGiBE20190130 22474100000'],0.241,0.679,0.081
88,['BBC News  Trade war Firms look to new factories as tariffs bite  20190130 22473900000'],0.231,0.769,0.0
89,['Bailing out farmers hurt by Trumps trade war is socialist Providing sanitation safe roads and bridges are socialist programs    our tax dollars subsidize common essential services for the greater good and that is straight up socialism20190130 22473900000'],0.151,0.639,0.21
90,['His trade war wiped out all the gains in 2018 Last December worst trading month EVER Not a single mention from realDonaldTrump20190130 22461800000'],0.272,0.646,0.082
91,['This Fed news is hugely bullish If we can get this trade war done with Game on stocks20190130 22435700002'],0.178,0.822,0.0
92,['jfc man Your trade war is the reason its not 30000 and everyone knows it20190130 22432700000'],0.206,0.794,0.0
93,['And for Final Jeopardy A America was on edge of economic Armageddon and Damage will Linger For Years Q How Will Media Report Shutdown and Trade War From Here on Out  20190130 224238000050'],0.267,0.733,0.0
94,['Usiminas 310119 Entrar na operao apenas aps romper 1038 contabilidade instago gestao insta trade TradeWar trading b3 bolsadevalores bovespa acoes mercadodevalores investimentos investimento swingtrade swingtrading opcoes forex forextrading forextrader20190130 22423400001'],0.0,1.0,0.0
95,['MAGA Trade War  20190130 22410200000'],0.494,0.506,0.0
96,['Huaweis 4G contract for Perth trains is under scrutiny but does WA have anything to fear perth With the Chinese tech giant under fire amid the USChina trade war Rebecca Turner weighs up WAs dealings with the company  pictwittercom5IOfUjb9a620190130 22401800000'],0.256,0.744,0.0
97,['Trump is attacking our countrys conscious and unity with his domestic policies and rhetoric our economy with trade war hitting manufacturingagriculture our natl security with friending our enemies RussiaN Korea and provoking Iran he is a clear and present danger20190130 22392700001'],0.226,0.626,0.148
98,['Federal Reserve Chair Jay Powell Swats Away Claims Government Shutdown and China Trade War hurt the Economy Trade War Had No Material GDP Effect On Either Country Shutdown Money Not Spent Now Will Be Spent In Second Quarter20190130 2239100000427'],0.277,0.723,0.0
99,['Technology Company Foxconn Is Rethinking Its 10 Billion Wisconsin Factory Amid Trumps China Trade War  20190130 22384300000'],0.196,0.804,0.0
100,['Chinese academic predicts a long and protracted trade war  via SCMPNews20190130 22370700000'],0.281,0.719,0.0
