date,open,high,low,close,adj_close,volume,Stockname,Open_USD,High_USD,Low_USD,Close_USD,Adj_Close_USD
28/8/2018,46800,46950,46300,46550,45775.86328,7365976,005930.ks,42.32955116,42.4652228,41.87731237,42.10343176,41.40324245
29/8/2018,46750,46800,46400,46800,46021.70703,5572374,005930.ks,41.95471303,41.99958438,41.64061358,41.99958438,41.30112324
30/8/2018,46950,47950,46700,47650,46857.57031,12193231,005930.ks,42.30649002,43.20758672,42.08121585,42.93725771,42.22320194
31/8/2018,47100,48450,47000,48450,47644.26953,13577454,005930.ks,42.15054036,43.35867687,42.06104877,43.35867687,42.63761583
3/9/2018,48200,48300,47300,47450,46660.89844,8595084,005930.ks,43.34132173,43.43124148,42.53204393,42.66692357,41.95736538
4/9/2018,47550,47800,47200,47650,46857.57031,6791255,005930.ks,42.5478164,42.7715168,42.23463583,42.63729656,41.9282292
5/9/2018,47300,47450,46400,46600,45825.03125,9139998,005930.ks,42.14876707,42.28243124,41.34678207,41.52500096,40.83443062
6/9/2018,46200,46400,45800,46100,45333.34766,9040553,005930.ks,41.1946105,41.37294215,40.83794721,41.10544468,40.4218528
7/9/2018,44500,45200,44400,44900,44153.30469,18285508,005930.ks,39.63495058,40.25842171,39.54588327,39.9912198,39.32615841
10/9/2018,45450,45550,45000,45500,44743.32813,9979838,005930.ks,40.25304059,40.34160614,39.85449563,40.29732336,39.62717279
11/9/2018,45550,45900,45050,45050,44300.80859,9865790,005930.ks,40.36287841,40.67302127,39.91981717,39.91981717,39.25594183
12/9/2018,44900,45100,44500,44550,43809.125,12995269,005930.ks,39.78724462,39.96447065,39.43279255,39.47709906,38.82058737
13/9/2018,44550,44750,44000,44050,43317.4375,18277942,005930.ks,39.73282267,39.91119673,39.24229399,39.28688751,38.63353676
14/9/2018,45000,45850,44900,45850,45087.50781,12446344,005930.ks,40.21660181,40.97624873,40.12723158,40.97624873,40.29480774
17/9/2018,45550,45800,44900,45150,44399.14844,8123384,005930.ks,40.49004532,40.71227389,39.91225104,40.13447961,39.46703693
18/9/2018,44950,45900,44700,45500,44743.32813,9987090,005930.ks,39.97993704,40.82489678,39.75757921,40.46912426,39.7961166
19/9/2018,46000,46200,45700,46150,45382.51563,9367454,005930.ks,41.0069073,41.1851982,40.73947095,41.14062548,40.45644807
20/9/2018,46850,47600,46400,47250,46464.22266,13536966,005930.ks,41.87826784,42.54867767,41.47602193,42.23581975,41.53342927
21/9/2018,46550,47550,46550,47400,46611.73047,14476906,005930.ks,41.70779552,42.60377394,41.70779552,42.46937718,41.76310469
27/9/2018,46950,47500,46450,47500,47061.53906,15804586,005930.ks,42.22117113,42.71577484,41.77153139,42.71577484,42.32147592
28/9/2018,47250,47250,46300,46450,46021.23047,11270515,005930.ks,42.54061832,42.54061832,41.6853043,41.82035388,41.43431957
1/10/2018,46450,46800,45800,46350,45922.15234,6354983,005930.ks,41.78541421,42.10026663,41.20068829,41.69545638,41.31057389
2/10/2018,46450,46700,45700,45700,45278.15234,6607188,005930.ks,41.54700043,41.77061185,40.8761662,40.8761662,40.4988464
4/10/2018,45150,45600,44700,44700,44287.38281,11865327,005930.ks,40.00056229,40.39923899,39.60188559,39.60188559,39.23632812
5/10/2018,44800,45500,44550,44700,44287.38281,10544165,005930.ks,39.70520089,40.32559465,39.48363169,39.61657321,39.25088016
8/10/2018,44200,45200,44200,44950,44535.07422,6759464,005930.ks,38.88253102,39.76222629,38.88253102,39.54230247,39.17729423
10/10/2018,45250,45500,44500,45300,44881.84375,10341349,005930.ks,39.79162684,40.01147008,39.13209711,39.83559549,39.46788019
11/10/2018,44000,44650,43100,43100,42702.15234,19324537,005930.ks,38.56288332,39.13256228,37.77409707,37.77409707,37.42541178
12/10/2018,43200,44650,43200,44000,43593.84375,12640906,005930.ks,38.190434,39.47228884,38.190434,38.89766426,38.53860677
15/10/2018,44050,44050,43350,43800,43395.69141,7434522,005930.ks,39.01339467,39.01339467,38.39343153,38.79197926,38.43389865
16/10/2018,43700,44150,43350,43600,43197.53906,6825677,005930.ks,38.89270462,39.29320158,38.58120699,38.8037053,38.44551778
17/10/2018,44150,44500,44000,44150,43742.46094,8306193,005930.ks,39.17332318,39.48387047,39.04023148,39.17332318,38.81172274
18/10/2018,43950,44450,43700,44050,43643.38281,8347725,005930.ks,38.70075772,39.14103938,38.48061689,38.78881405,38.43076187
19/10/2018,43900,44150,43450,43900,43494.76953,7842520,005930.ks,38.84955752,39.07079646,38.45132743,38.84955752,38.49094649
22/10/2018,43450,43950,43200,43550,43148,8357648,005930.ks,38.39433404,38.83615606,38.17342303,38.48269844,38.12747353
23/10/2018,43300,43450,42550,43050,42652.61328,9531231,005930.ks,38.06046822,38.19231741,37.40122223,37.84071955,37.49141875
24/10/2018,43050,43100,42250,42550,42157.23047,13522825,005930.ks,37.97362429,38.01772838,37.2679588,37.53258336,37.18612848
25/10/2018,40600,41550,40550,41000,40621.53906,19338170,005930.ks,35.75205184,36.58861463,35.70802222,36.1042888,35.77101897
26/10/2018,41100,41300,40400,41000,40621.53906,14413864,005930.ks,35.91849233,36.09327818,35.30674185,35.8310994,35.50035132
29/10/2018,40850,41950,40550,41400,41017.84375,14460521,005930.ks,35.83565345,36.8006282,35.57247851,36.31814083,35.98289434
30/10/2018,41400,43000,41000,42350,41959.07422,14205190,005930.ks,36.32974512,37.73379324,35.97873309,37.16339869,36.82034956
31/10/2018,42900,43350,41700,42400,42008.61328,17621480,005930.ks,37.60686237,38.00133994,36.55492216,37.16855395,36.82545776
1/11/2018,42450,42950,42150,42150,41760.92188,13423132,005930.ks,37.61630629,38.05937233,37.35046667,37.35046667,37.00569207
2/11/2018,43050,44250,42800,44150,43742.46094,16517112,005930.ks,38.51140842,39.58489716,38.28776494,39.49543976,39.13086594
5/11/2018,43750,43800,42900,43800,43395.69141,9426777,005930.ks,38.90272705,38.94718731,38.14690264,38.94718731,38.58767401
6/11/2018,43750,43800,42950,43750,43346.15234,7713625,005930.ks,39.03310173,39.07771098,38.31935358,39.03310173,38.67279483
7/11/2018,43600,44500,43400,44000,43593.84375,11553998,005930.ks,38.93746939,39.74122449,38.75885714,39.29469388,38.93197148
8/11/2018,44900,45050,44050,44050,43643.38281,12617397,005930.ks,40.20265229,40.33695959,39.44157758,39.44157758,39.07749986
9/11/2018,44450,44850,43900,44300,43891.07422,7318500,005930.ks,39.4386559,39.79355944,38.95066353,39.30556707,38.94274405
12/11/2018,43850,45250,43700,45200,44782.76953,8552566,005930.ks,38.58780817,39.81980205,38.45580883,39.77580227,39.40864128
13/11/2018,43900,44500,43400,44500,44089.23047,9311126,005930.ks,38.70607809,39.23509055,38.26523438,39.23509055,38.87292022
14/11/2018,44500,44500,43800,44100,43692.92188,6783344,005930.ks,39.30564244,39.30564244,38.68735143,38.95233329,38.59277223
16/11/2018,44600,44750,43700,44000,43593.84375,7777124,005930.ks,39.41670042,39.5492678,38.62129615,38.88643091,38.52747711
19/11/2018,44050,44250,43450,43650,43247.07422,7538720,005930.ks,39.0919247,39.26941357,38.55945807,38.73694695,38.37937273
20/11/2018,42450,43000,42100,42800,42404.92188,9420664,005930.ks,37.64258595,38.13029908,37.33222305,37.95294885,37.60261287
21/11/2018,41800,42300,41800,42100,41711.38281,10769589,005930.ks,37.05314438,37.49636381,37.05314438,37.31907603,36.97459066
22/11/2018,42000,42650,42000,42450,42058.15234,5970796,005930.ks,37.19784701,37.77352797,37.19784701,37.59639537,37.24935039
23/11/2018,42450,42600,41900,42400,42008.61328,5192638,005930.ks,37.49697701,37.62947516,37.01115045,37.45281096,37.10709084
26/11/2018,42150,42800,42100,42600,42206.76953,6613009,005930.ks,37.36370977,37.93989983,37.31938745,37.76261058,37.4140329
27/11/2018,42900,43100,42500,43050,42652.61328,8367091,005930.ks,37.99113488,38.16824972,37.63690518,38.12397101,37.77205557
28/11/2018,42800,43200,42750,43150,42751.69141,6943099,005930.ks,37.93447645,38.28900427,37.89016047,38.24468829,37.8916596
29/11/2018,43850,43850,42900,43150,42751.69141,8473511,005930.ks,39.14484897,39.14484897,38.29678497,38.5199597,38.16439004
30/11/2018,43450,44000,41750,41850,41463.69141,19775519,005930.ks,38.73885828,39.22922357,37.22318373,37.31234106,36.96791864
3/12/2018,42750,43400,42400,43250,42850.76953,12110702,005930.ks,38.43443559,39.01881883,38.1197677,38.88396116,38.52503255
4/12/2018,42650,42900,41900,42150,41760.92188,14347746,005930.ks,38.58671018,38.81289253,37.9081631,38.13434546,37.78233503
5/12/2018,40900,41750,40850,41450,41067.38281,12631983,005930.ks,36.72748124,37.4907663,36.68258211,37.22137157,36.87778806
6/12/2018,40600,41100,40450,40500,40126.15234,14251826,005930.ks,36.20107931,36.64690541,36.06733148,36.11191409,35.77857201
7/12/2018,40900,41400,40850,40950,40572,11433083,005930.ks,36.3716909,36.8163326,36.32722673,36.41615507,36.08000594
10/12/2018,40450,40650,40000,40200,39828.92188,14892263,005930.ks,35.89669649,36.07418325,35.49735129,35.67483805,35.34553078
11/12/2018,40600,40700,40200,40250,39878.46094,10638766,005930.ks,35.97556398,36.06417375,35.62112493,35.66542981,35.33620993
12/12/2018,40250,40700,40150,40450,40076.61328,12024279,005930.ks,35.66057847,36.05926817,35.57198076,35.83777389,35.50696181
13/12/2018,40650,40750,40000,40000,39630.76953,26254646,005930.ks,36.15248013,36.24141612,35.5743962,35.5743962,35.24601742
14/12/2018,40200,40200,38700,38950,38590.46094,19671783,005930.ks,35.43724662,35.43724662,34.11496129,34.33534218,34.01840003
17/12/2018,38650,39600,38650,39150,38788.61328,11532968,005930.ks,34.18548054,35.02574461,34.18548054,34.62772479,34.30808239
18/12/2018,38300,39200,38300,38900,38540.92188,11042101,005930.ks,33.92681901,34.72405497,33.92681901,34.45830965,34.14023188
19/12/2018,38900,39350,38850,39100,38739.07422,9942037,005930.ks,34.54714998,34.94679567,34.5027449,34.72477029,34.40423154
20/12/2018,38600,39100,38500,38650,38293.23047,11937617,005930.ks,34.40585667,34.85152838,34.31672232,34.45042384,34.13241966
21/12/2018,38200,38650,38100,38650,38293.23047,14947080,005930.ks,33.99168947,34.39211513,33.90270599,34.39211513,34.07464919
24/12/2018,38500,39050,38300,38800,38441.84375,9729530,005930.ks,34.21662343,34.70543234,34.03887474,34.48324647,34.16493744
26/12/2018,38400,38750,38300,38350,37996,12707675,005930.ks,34.18612615,34.49771844,34.09709978,34.14161296,33.82645961
27/12/2018,38700,38800,38100,38250,38250,10510643,005930.ks,34.4827778,34.57188058,33.94816109,34.08181526,34.08181526
28/12/2018,38250,38900,38200,38700,38700,9900267,005930.ks,34.24516356,34.82710752,34.20039864,34.64804784,34.64804784
2/1/2019,39400,39400,38550,38750,38750,7847664,005930.ks,35.12200044,35.12200044,34.36429231,34.54257657,34.54257657
3/1/2019,38300,38550,37450,37600,37600,12471493,005930.ks,33.97737595,34.19916039,33.22330886,33.35637953,33.35637953
4/1/2019,37450,37600,36850,37450,37450,14108958,005930.ks,33.38537522,33.51909501,32.85049604,33.38537522,33.38537522
7/1/2019,38000,38900,37800,38750,38750,12748997,005930.ks,33.94684463,34.75084885,33.76817703,34.61684814,34.61684814
8/1/2019,38000,39200,37950,38100,38100,12756554,005930.ks,33.73531375,34.80063944,33.69092518,33.82409089,33.82409089
9/1/2019,38650,39600,38300,39600,39600,17452708,005930.ks,34.47668125,35.32410292,34.16447327,35.32410292,35.32410292
10/1/2019,40000,40150,39600,39800,39800,14731699,005930.ks,35.79407931,35.92830711,35.43613852,35.61510892,35.61510892
11/1/2019,40350,40550,39950,40500,40500,11661063,005930.ks,36.09765661,36.27657932,35.73981119,36.23184865,36.23184865
14/1/2019,40450,40700,39850,40050,40050,11984996,005930.ks,36.0174675,36.24007237,35.48321582,35.66129972,35.66129972
15/1/2019,40050,41100,39850,41100,41100,11492756,005930.ks,35.65381918,36.5885635,35.47577264,36.5885635,36.5885635
16/1/2019,41150,41450,40700,41450,41450,8491595,005930.ks,36.66082715,36.92809928,36.25991896,36.92809928,36.92809928
17/1/2019,41700,42100,41450,41950,41950,11736903,005930.ks,37.10631852,37.46225443,36.88385858,37.32877846,37.32877846
18/1/2019,42000,42400,41950,42300,42300,11029256,005930.ks,37.44996989,37.80663627,37.40538659,37.71746968,37.71746968
21/1/2019,42700,42750,41900,42750,42750,11355701,005930.ks,37.74427796,37.788475,37.03712521,37.788475,37.788475
22/1/2019,42750,42850,41850,42150,42150,9964356,005930.ks,37.77979716,37.86817096,36.98443301,37.24955439,37.24955439
23/1/2019,41350,42250,41350,42000,42000,11071079,005930.ks,36.66345164,37.46144696,36.66345164,37.23978159,37.23978159
24/1/2019,43050,43100,42350,43050,43050,14747623,005930.ks,38.10784199,38.15210197,37.48820228,38.10784199,38.10784199
25/1/2019,44300,44750,43750,44750,44750,22789395,005930.ks,39.54989889,39.9516473,39.05887306,39.9516473,39.9516473
28/1/2019,45000,45500,44600,45050,45050,17998914,005930.ks,40.22877813,40.67576455,39.87118899,40.27347677,40.27347677
29/1/2019,45050,45500,44350,45500,45500,16215017,005930.ks,40.28443147,40.68682867,39.65848026,40.68682867,40.68682867
30/1/2019,44800,46400,44800,46400,46400,17505980,005930.ks,40.06472715,41.49561026,40.06472715,41.49561026,41.49561026
31/1/2019,46650,47050,46150,46150,46150,21621145,005930.ks,41.94768234,42.30736236,41.49808231,41.49808231,41.49808231
1/2/2019,46650,46950,46250,46350,46350,13832454,005930.ks,41.76302358,42.03159608,41.40492691,41.49445108,41.49445108
7/2/2019,46800,47100,46200,46200,46200,15872001,005930.ks,41.60008148,41.86674867,41.06674711,41.06674711,41.06674711
8/2/2019,45700,45700,44650,44800,44800,12689196,005930.ks,40.70082263,40.70082263,39.76568338,39.8992747,39.8992747
11/2/2019,44500,45000,44250,45000,45000,11125044,005930.ks,39.54506522,39.9893918,39.32290193,39.9893918,39.9893918
12/2/2019,44650,46250,44650,46050,46050,13184367,005930.ks,39.73798287,41.16196434,39.73798287,40.98396666,40.98396666
13/2/2019,46400,46700,46000,46200,46200,11299738,005930.ks,41.30330709,41.57035433,40.94724409,41.12527559,41.12527559
14/2/2019,46600,47500,46150,47500,47500,17259341,005930.ks,41.33288203,42.13115657,40.93374476,42.13115657,42.13115657
15/2/2019,46750,46850,45650,46050,46050,10554643,005930.ks,41.47141777,41.56012668,40.4956197,40.85045536,40.85045536
18/2/2019,46500,46850,45850,46200,46200,8183728,005930.ks,41.30383985,41.61472897,40.72647435,41.03736346,41.03736346
19/2/2019,45850,46150,45450,45950,45950,6741395,005930.ks,40.66194739,40.92800157,40.30720848,40.75063212,40.75063212
20/2/2019,46750,47100,46500,46900,46900,11506720,005930.ks,41.63729809,41.94902118,41.41463874,41.7708937,41.7708937
21/2/2019,46500,47200,46200,46950,46950,8694009,005930.ks,41.32411299,41.94619641,41.05750581,41.72402376,41.72402376
22/2/2019,46500,47150,46450,47150,47150,6895772,005930.ks,41.36133365,41.93950283,41.3168591,41.93950283,41.93950283
25/2/2019,47400,47550,47050,47350,47350,7484716,005930.ks,42.4071258,42.54132557,42.09399302,42.36239255,42.36239255
26/2/2019,47350,47450,46500,46750,46750,7985547,005930.ks,42.35774409,42.44720079,41.5973622,41.82100394,41.82100394
27/2/2019,47000,47250,46750,46750,46750,8045211,005930.ks,42.02234839,42.24587152,41.79882526,41.79882526,41.79882526
28/2/2019,46400,46500,45100,45100,45100,23569321,005930.ks,41.34843529,41.4375483,40.1899662,40.1899662,40.1899662
4/3/2019,46000,46100,44800,44850,44850,12926539,005930.ks,40.84829401,40.93709465,39.78268634,39.82708666,39.82708666
5/3/2019,44600,45100,44150,44250,44250,10612405,005930.ks,39.5793077,40.02302191,39.17996491,39.26870775,39.26870775
6/3/2019,44000,44300,43700,44000,44000,10202544,005930.ks,39.01180346,39.27779303,38.74581389,39.01180346,39.01180346
7/3/2019,43400,44950,43400,44450,44450,11049749,005930.ks,38.42134862,39.79353965,38.42134862,39.35089738,39.35089738
8/3/2019,44450,44800,43800,43800,43800,7729069,005930.ks,39.1045704,39.4124804,38.53273754,38.53273754,38.53273754
11/3/2019,44400,44450,43650,43650,43650,10717408,005930.ks,39.14697949,39.19106392,38.48571294,38.48571294,38.48571294
12/3/2019,44300,44950,44150,44650,44650,11431977,005930.ks,39.20954093,39.78485022,39.07677725,39.51932286,39.51932286
13/3/2019,44250,44450,43700,43850,43850,8108343,005930.ks,39.10170664,39.27843752,38.61569673,38.74824489,38.74824489
14/3/2019,43700,44300,43550,43850,43850,18039161,005930.ks,38.4530858,38.98104579,38.32109581,38.5850758,38.5850758
15/3/2019,43800,44250,43700,44200,44200,16814163,005930.ks,38.55450123,38.95060912,38.46647725,38.90659713,38.90659713
18/3/2019,43950,44150,43450,43700,43700,8188876,005930.ks,38.82650273,39.00318761,38.38479053,38.60564663,38.60564663
19/3/2019,43750,43900,43550,43900,43900,7609563,005930.ks,38.72598683,38.85876164,38.54895375,38.85876164,38.85876164
20/3/2019,43800,44200,43100,44050,44050,9846242,005930.ks,38.79256763,39.14683765,38.17259509,39.0139864,39.0139864
21/3/2019,44600,46250,44050,45850,45850,21138016,005930.ks,39.51112529,40.97285974,39.02388047,40.61849988,40.61849988
22/3/2019,46850,47000,46250,46550,46550,12535911,005930.ks,41.27647118,41.40862637,40.74785042,41.0121608,41.0121608
25/3/2019,45300,45650,44800,45500,45500,8699728,005930.ks,39.98398373,40.29291075,39.5426594,40.16051346,40.16051346
26/3/2019,45500,45700,44900,45250,45250,9729811,005930.ks,40.10746266,40.2837592,39.57857305,39.88709199,39.88709199
27/3/2019,44750,45600,44250,45350,45350,9568081,005930.ks,39.3387783,40.08599532,38.89923888,39.8662256,39.8662256
28/3/2019,44950,45200,44300,44850,44850,6821306,005930.ks,39.45888991,39.67834981,38.88829417,39.37110595,39.37110595
29/3/2019,44500,44900,44200,44650,44650,11491713,005930.ks,39.16750231,39.51956975,38.90345173,39.2995276,39.2995276
1/4/2019,45200,45450,44850,45050,45050,7362129,005930.ks,39.82522506,40.04549732,39.51684389,39.6930617,39.6930617
2/4/2019,45550,46100,45350,45750,45750,9480688,005930.ks,40.08328423,40.56727558,39.90728737,40.25928108,40.25928108
3/4/2019,46750,46750,45800,46600,46600,12436570,005930.ks,41.21301996,41.21301996,40.37553613,41.08078567,41.08078567
4/4/2019,46150,47100,46150,46950,46950,12650168,005930.ks,40.57432978,41.40955433,40.57432978,41.27767677,41.27767677
5/4/2019,46950,47550,46600,46850,46850,8546339,005930.ks,41.27840002,41.80591951,40.97068032,41.1904801,41.1904801
8/4/2019,47250,47250,46150,46650,46650,8507909,005930.ks,41.25218343,41.25218343,40.29181514,40.72834618,40.72834618
9/4/2019,46700,46950,46200,46650,46650,6878761,005930.ks,40.98461431,41.20401802,40.54580687,40.94073356,40.94073356
10/4/2019,46400,46700,46050,46700,46700,11883995,005930.ks,40.78791043,41.05162537,40.48024301,41.05162537,41.05162537
11/4/2019,46700,46800,46150,46250,46250,13697399,005930.ks,40.93067843,41.01832442,40.44862547,40.53627147,40.53627147
12/4/2019,46050,46900,46000,46850,46850,7668936,005930.ks,40.63383087,41.38385814,40.58971161,41.33973889,41.33973889
15/4/2019,47150,47500,47000,47050,47050,8733019,005930.ks,41.62794119,41.9369503,41.49550871,41.53965287,41.53965287
16/4/2019,47400,47400,46800,47250,47250,7730881,005930.ks,41.76040587,41.76040587,41.23179314,41.62825269,41.62825269
17/4/2019,47300,47600,47000,47050,47050,5513658,005930.ks,41.73953071,42.00426346,41.47479795,41.51892008,41.51892008
18/4/2019,47200,47250,45500,45600,45600,12808747,005930.ks,41.51843309,41.56241448,40.0230658,40.11102858,40.11102858
19/4/2019,45750,46000,45250,45300,45300,8479710,005930.ks,40.20600979,40.42571476,39.76659984,39.81054084,39.81054084
22/4/2019,45400,45900,45100,45350,45350,6006957,005930.ks,39.78874655,40.22694861,39.52582532,39.74492635,39.74492635
23/4/2019,45050,45500,45000,45200,45200,6920566,005930.ks,39.44584819,39.83986887,39.40206812,39.57718842,39.57718842
24/4/2019,45400,45650,44150,44750,44750,13299267,005930.ks,39.44169644,39.6588864,38.35574665,38.87700255,38.87700255
25/4/2019,44250,45000,44100,44650,44650,10868965,005930.ks,38.04329595,38.68809758,37.91433562,38.38719015,38.38719015
26/4/2019,44200,45000,43800,44850,44850,9739982,005930.ks,38.07302354,38.76212803,37.72847129,38.63292094,38.63292094
29/4/2019,45150,46150,45100,46150,46150,8777517,005930.ks,38.90436631,39.76603555,38.86128284,39.76603555,39.76603555
30/4/2019,46000,46300,45350,45850,45850,11121273,005930.ks,39.45138034,39.70867195,38.89391518,39.32273454,39.32273454
2/5/2019,45500,46150,45400,45900,45900,8625126,005930.ks,39.1171261,39.67594218,39.03115439,39.46101292,39.46101292
3/5/2019,45900,46050,45300,45300,45300,6562916,005930.ks,39.23242253,39.36063306,38.71958041,38.71958041,38.71958041
7/5/2019,45250,45300,44400,44850,44850,12014907,005930.ks,38.6402243,38.68292068,37.91438584,38.29865326,38.29865326
8/5/2019,44300,44850,44200,44250,44250,10398754,005930.ks,37.78091953,38.24998287,37.69563529,37.73827741,37.73827741
9/5/2019,43900,44250,42450,42450,42450,23029718,005930.ks,37.10769684,37.40354408,35.88204398,35.88204398,35.88204398
10/5/2019,42600,43450,42450,42900,42900,14579512,005930.ks,36.09679172,36.81703287,35.96969034,36.35099448,36.35099448
13/5/2019,42500,43200,42350,42650,42650,7635079,005930.ks,35.77591047,36.36516076,35.64964255,35.90217839,35.90217839
14/5/2019,41300,43100,41300,42650,42650,11563730,005930.ks,34.7760126,36.29167417,34.7760126,35.91275878,35.91275878
15/5/2019,42700,43050,42550,42550,42550,7670185,005930.ks,35.86798717,36.16198707,35.74198722,35.74198722,35.74198722
16/5/2019,42350,42400,41350,41550,41550,13687828,005930.ks,35.61460249,35.65665043,34.77364375,34.9418355,34.9418355
17/5/2019,41950,42050,40850,41200,41200,13357951,005930.ks,35.12233397,35.20605824,34.20136693,34.49440189,34.49440189
20/5/2019,41650,42100,41550,42000,42000,15752397,005930.ks,34.88849841,35.26544497,34.80473251,35.18167907,35.18167907
21/5/2019,42600,43950,42350,43150,43150,18812133,005930.ks,35.69830615,36.8295905,35.48880905,36.15919978,36.15919978
22/5/2019,43700,43800,42400,43500,43500,11033339,005930.ks,36.72404273,36.80807944,35.63156549,36.55596931,36.55596931
23/5/2019,43900,44000,43250,43850,43850,12259006,005930.ks,36.83881393,36.92272922,36.29336452,36.79685628,36.79685628
