Tweets,Date
It has been way over that until you started a trade war ,2019-01-30
its just steel not like why we got in to trade war over it ,2019-01-30
Thanks to NPR for having me on All Things Considered today to talk about the trade war   ,2019-01-30
AMAZING IS JUST HOW STUPID ULTRA RIGHTISTS ARE THIS TRUMPER DOES NOT RECOGNIZE THE EFFECTS OF DONNIEs WINNING TRADE WAR AND HIS TARIFFS DONNIE IS KILLING CATERPILLAR AND A LARGE NUMBER OF OTHER COMPANIES IN HIS STEEL AND ALU TARIFF WAR   ,2019-01-30
We wont have to worry about inflation if the economy slows Too many variables right now They need to sit tight and only move when its right Trump has a lot going on and can send us in either direction Gov shutdown and trade war can both end badly fast ,2019-01-30
As top level negotiators try to thrash out a deal to end the trade war between China and the United States a leading Chinese government academic has predicted that the irrational conflict will be long and protracted  pictwittercomfibYLWIj ,2019-01-30
The US and China open a pivotal round of highlevel talks aimed at ending their monthslong trade war but differences remain  via ReutersTVpictwittercomyfBaYpXeha ,2019-01-30
Protesters rush Beijing delegation as USChina trade war talks start with meeting between VP Liu He and USTR Robert Lighthizer   via scmpnews ,2019-01-30
Forget about Venezuela  worry about the mess youre making of America Personal debt up Gov may close again People work  jobs to pay basics People choose between food  meds Homeless rising  trillion added to debt next trillion projected Trade war losing jobs bail out ,2019-01-30
The United States and China were set to try again on Wednesday to dig out from a damaging trade war with a new round of highlevel   pictwittercomzkcujPcY ,2019-01-30
We will know the results of the trade war in  days The Fed can pause until then ,2019-01-30
Trade War Deescalation Chinas Congress to Vote on Foreign Investment Law  chinapictwittercomlRLVCBUux ,2019-01-30
realDonaldTrump it was near  before you started a trade war you fuck   ,2019-01-30
Cohen knew trickle down doesnt work so the tax cut would not have worked as he and the administration said without the trade war Did the trade war exacerbate it probably but it was always meant as a means to give the large Republican donors corporations and top tax cuts ,2019-01-30
What does Huawei have to do with the USChina trade war   ,2019-01-30
In the last year the US China trade war escalated and a new NAFTA deal was created Test your knowledge to see what else you know about US trade ,2019-01-30
trumptantrum this is the second time How is this tremendous We are just seeing some small recovery from your trade war logic fakenews FAKEpresident ,2019-01-30
WATCH VIDEO For even the most agile apparel companies moving production in response to tariffs would be a major disruptionone that would likely come with unforeseen issues Hear what you might be missing from Wayne Buchen of apdn  tradewar apparelpictwittercomuNxhjneT ,2019-01-30
It was already higher than that months ago until your ridiculous trade war and other actions slowed down the global economy and drove stocks lower ,2019-01-30
An interesting scenario where the EU could make a bigger difference might be if the USChina trade war resolves and part of the resolution includes China cutting back its business with Iran  ,2019-01-30
Okay so the logic youre using is Obama gets credit for the rise you blame Trumps trade war with china for the fall then by consistent logic you must be giving trumps policies the credit for this rise again ,2019-01-30
Congrats realDonaldTrump for winning the fight vs federalreserve Next stop the Trade War vs China ,2019-01-30
Looks like the trade war had no affect but the fed rate increase did ,2019-01-30
The Fed did their job and kept inflation in check Trade war alone is enough reason to pause on rates and continue QT QT is like fine tuning the economy from behind the scenes while nobody is paying attention ,2019-01-30
Instead of hiding behind the trade war Cohn should admit that the TrumpGOP tax cuts were illconceived producing a couple quarters of improved growth and trilliondollar budget deficits for years to come ,2019-01-30
Why did I lose  in my k last quarter End the trade war and stop tweeting ,2019-01-30
Glad you brag with the stock markets again Tomorrow the Dow will tank due to your trade war with China lets see if you mention it again ,2019-01-30
After your trade war tanked it The market just figured out noone is listing to you anymore ,2019-01-30
dkimguilfoyle I have a piece of legislation that would put the pres beyond Reagan and I need someone to help get it before to DJT  It knocks the trade war in the head and is a win win win for bus gov and jobs Please help ,2019-01-30
Trade war wont shake Xis grip on power  for now  via SCMPNews ,2019-01-30
It means I still havent gotten back the money my IRA lost since he started screwing around with this trade war ,2019-01-30
That sounds logical You mean without the trade war the tax cuts wouldve produced the economic boon that was predicted despite the corporations had no other plans for the tax windfall other than to buy back their own stock and make themselves even richer Yup i see it all now ,2019-01-30
Then we had the gift of a Pres stupid enough to launch a trade war Its infuriating the way ppl win this administration pastpresent like to obfuscate  speak like ppl are rock stupid to the point they cant even trust their own observations of events ,2019-01-30
Wasnt the Dow Jones MUCH higher before you started your idiotic trade war Right now the farmers youve destroyed couldnt care less ,2019-01-30
Even with the trade war killing soybean farmers she improved only a little over  in a much better D environment overall So its more Peter DeFazio than Ron Kind Not sure what they can do with the district lines ,2019-01-30
That explains the timing of the trade war To mask the lie ,2019-01-30
Uh didnt it break  in January before it took a dive and rode on a roller coaster Lets wait and see how your trade war goes before you start bragging ,2019-01-30
The Dow already broke  The Dow is still down  points from its high  months ago How come never mentioned that Your continued trade war with China has caused billions of dollars in losses ,2019-01-30
It was at k two months ago and your trade war tanked it Also Trump shutdown cost more than your B request for a wall ,2019-01-30
Gary Cohn Goldman Sachssays the tax cuts he helped architect havent produced the capital spending and investment the White House promised because of the trade war the administration launched simultaneously Enjoy Sunday ,2019-01-30
It was well above k before the trade warthat you started   ,2019-01-30
Trumps trade talks with China could decide the fate of the trade war and the US economys future  Business Insider   via GoogleNews ,2019-01-30
If he resigned and the trade war endedjust imagine what the DOW would do Thanks Obama for saving the economy after Bush destroyed lets get this SOB out of here before it happens again ,2019-01-30
It had broken  a year ago and then President Fuckwit started a TradeWar that caused it to drop   ,2019-01-30
Here are the winners and losers of the lumber trade war  ,2019-01-30
Why didnt tax cuts produce the promised economic boom and pay for themselves the last several times when there was no trade war ,2019-01-30
Thats still more than  points below where it was when you started your fucking trade war ,2019-01-30
On paper its a pretty Trumpy district but theres the whole the trade war is terrible for farmers thing Shell be in trouble in  if Dems win the White House ,2019-01-30
China Turns to Russia in Search to Replace US Soybeans    US China trade war sweetens Indias grape export plans    pictwittercomYzQUnYxd ,2018-11-07
The full list of crimes the US accuses Huawei of committing  TradeWar pictwittercomVlmEzQg ,2019-01-30
Amazing how he only comments on positive events on DOW Nothing about how his trade war wiped out ALL of the gains on  And caused the worst December EVER    ,2019-01-30
Literally the only reason it was able to was a combination of a stupid tax cut a stupid trade war and a stupid shutdown brought it back down BELOW  Dingus   ,2019-01-30
Lol Its been bouncing above and below  for months How many times will you take credit And ironically this is evidence that your irrational trade war is making the market skittish It wouldnt have fallen back so many times if investors could trust you ,2019-01-30
Ok So on a monthly or whatever basis Putin says keep up trade war with China Glad you arrested huwei ceo Good shit Donald Or hey China is our neighbor Communist as well NATO enemy Cut that shit out with the trade war and tell Canada to release huweii ceo now ,2019-01-30
