Tweets,Date
For clarification on my stances Im only for the trade war with China theres no good reason to hit our allies and neighbors with tariffs20190530 23430800000,2019-05-30
BARC JPM EmergingMarket Scorecard Favors Growth Stars as Trade War Bites via  23430000000,2019-05-30
More taxes on the American people You are losing the trade war in China and you are losing here DonTheCon BankruptingAmerica DeficitExplosion20190530 23423500000,2019-05-30
Trump intensifies his global trade war yen crosses on the slide  pictwittercom6zKQyf4Ao920190530 23422700000,2019-05-30
Of all the stupid ideas youve proposed an youve said some pretty stupid stuff This is right there with the trade war with China in abject silliness  20190530 23420900001,2019-05-30
New round of tariffs here you go south of the border tradewar20190530 23415700000,2019-05-30
We need to win this trade war with China China trump2020 20190530 23415700000,2019-05-30
China dangles a potentially harmful new threat in trade war from AP 20190530 23413300000,2019-05-30
Show me the open border policy show me the third trimester policy taxes sure show me the anti senitism 3 of the 4 policies youve just made up Republicans are outlawing abortion in multiple states massively increasing the deficit and losing an irrelevant trade war20190530 23411400000,2019-05-30
So ChuckGrassley likes socialist policies If he were a capitalist he would pull himself and his farm up by his bootstraps and work his way through his favorite presidents trade war20190530 23405300000,2019-05-30
China moves to restrict US access to rare earth minerals as trade war intensifies  20190530 23404500000,2019-05-30
Crude melting in trade War  CL1 chart 20190530 23404100000,2019-05-30
Trumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23403300000,2019-05-30
Trump wrecks his own deal starts yet another trade war  20190530 23401000000,2019-05-30
You have learned nothing from your disastrous trade war with china Canada and the EU The trade deficit inches toward 1 trillion and you dont care You dont care that farmers are dying or losing everything theyve worked their lives for You are nothing a complete failure20190530 23400500000,2019-05-30
Trump intensifies his global trade war yen crosses on the slide  23400300000,2019-05-30
Trumps tradewar is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23395200000,2019-05-30
Another trade war easy to win  20190530 23393600000,2019-05-30
Another trade war easy to win20190530 23385800000,2019-05-30
It is not Mexicos responsibility to stop migrants coming to our country Its our border its our responsibility So you wanna tax Americans by starting a trade war with one of our closest friends on the planet What is wrong with you20190530 23385800000,2019-05-30
Why cant we capitalize on Trumps trade war debacle climate change denial double deficits attempt to over throw aca AND hold impeachment hearings at the same time We can multitask Media help us out balance your coverage its not all impeachment RESIST impeachtrump20190530 23384900000,2019-05-30
USEU Talks Struggle Threatening a New Front in Trade War   via YahooFinance20190530 23384800000,2019-05-30
Cant you read Theres not going to be a wall Just a trade war20190530 23384700000,2019-05-30
They are fighting omg against the Trump tariffs You would too as the leader of any country whose exports suddenly got 1025 more expensive in your largest export market Thats what a trade war is20190530 23382200000,2019-05-30
Trump intensifies his global trade war yen crosses on the slide  20190530 23380800002,2019-05-30
Yeah hurting American farmers further by igniting a trade war with Mexico is a really great way for him to increase his abysmal poll numbers bless your heart20190530 23380800000,2019-05-30
Trade war is changing manufacturers in hardtoreverse ways  20190530 23375700000,2019-05-30
erichweiner you guys have a portfolio company connected to this industry what do you think Is Mastercraft a good value at 8X forward earnings Any worries about demand here Trade war hurting margins Any unforeseen secular shifts20190530 23372700000,2019-05-30
Trade War Starts Changing Manufacturers in HardtoReverse Ways   Important to note that in response to the high tariffs imposed on China many US tech companies have had to reroute business through Mexico This will kill US industry 20190530 23372500000,2019-05-30
Heres why Chinas trade war threat to restrict rare earth minerals  such as cerium europium and lutetium  is so serious  23371700000,2019-05-30
Cool Because a trade war with our biggest trading partner wasnt enough youre starting one with our third biggest20190530 2336590000454,2019-05-30
China accuses US of economic terrorism as trade war tensions escalate  20190530 23365500001,2019-05-30
Dude could cut illegal immigration off now with his delegated from the legislature and inherent executive powers but is going to try to start a trade war and sink the New NAFTA instead  20190530 23364100000,2019-05-30
The trade war and at least the possibility that it could derail the Mellanox acquisition appears to be weighing especially hard on this chip name Its a bummer but hopefully this too shall pass20190530 23362200000,2019-05-30
Fox host Chinese state TV anchor face off over trade war  20190530 23360900000,2019-05-30
MOAR TRADE WAR ESF PLUNGESpictwittercomMVO3ouXH5D20190530 23360200001,2019-05-30
Lol oh Donny still trying to strong arm people like you did in the 80s and 90s And now you want to fight a trade war on two fronts with China and Mexico We the American people will suffer for your arrogance20190530 23352500000,2019-05-30
Ah a trade war with Mexico How many dimensions is this chess game now20190530 23351400001,2019-05-30
USChina trade war tumitindi  20190530 23350300000,2019-05-30
Only five Dow stocks have gained in May as trade war drags on  23350300000,2019-05-30
That is sick Those tariffs will never be removed because someone is going to make tons of money off your stupid trade war Shame on you why dont you try being a patriot20190530 23350000000,2019-05-30
USChina trade war tumitindi   via rmnnetworks20190530 23345100000,2019-05-30
Yay more taxes Americans pay to purchase goods from the two countries that produce a vast majority of our goods tariffs tradewar merikkka20190530 23344700001,2019-05-30
China must not know they are dealing with the worlds greatest deal maker China accuses US of economic terrorism as trade war tensions escalate  20190530 23343200000,2019-05-30
Trade War Starts Changing Manufacturers in HardtoReverse Ways via nytimes 23324800000,2019-05-30
Trump Is Winning His Trade War With China Hereaposs Why That Might Not Last20190530 23324100000,2019-05-30
How soybeans became Chinas most powerful weapon in Trumps trade war  pictwittercomeKvi5BdZP420190530 23323300001,2019-05-30
Trade war is stupid says Dr Mahathir  20190530 23322300000,2019-05-30
Who better to do Putins bidding than realDonaldTrump HillaryClinton wouldnt have alienated our allies pulled us out of important international treaties or started a trade war Putin wanted someone to destabilize the world  he got it20190530 23321200000,2019-05-30
Trade War Starts Changing Manufacturers in HardtoReverse Ways  20190530 23320700000,2019-05-30
China makes next move in trade war reportedly halting US soy purchases  20190530 23315900000,2019-05-30
Hoy 30May la volatilidad en el mercadono fue estimulada por nerviosismo de compras ms bien por depresin en cuanto a comprs por parte de los pases consumidores de petroleo  Una de 4 en los por angustias de economia Economic por el tradewar oilgaspictwittercom67XluM5yQh20190530 23312500000,2019-05-30
Your trade war is going to derail the Obama recovery20190530 23311800000,2019-05-30
Lets see trade war with China which will cost the American family over 800 per year Kim Jong Un still firing missles Russia still interfering with elections and none of our former allies trust the US anymore Great foreign policy there Stupid man20190530 23301200000,2019-05-30
Maybe it would be prudent to bear in mind that the plight of the farmers and ranchers is caused by your idiot presidents trade war with China The Mueller report is vitally important for the long term future of the American democracy20190530 23295500000,2019-05-30
 RaderFarming and reidt1987 visited with vicenews today to discuss the plant19 rain problems trade war and other issues impacting farmers Story to air on Friday May 31 at 630pm on HBO ILFarmBureau twillpictwittercom1reLeGLWld20190530 23295200000,2019-05-30
When a Checkers player goes against a Go Master tradewar china strategy Rare earths could be the next front in the USChina trade war Heres what you should know CNN 23294600000,2019-05-30
China accuses US of economic terrorism as trade war tensions escalate  20190530 23294400000,2019-05-30
