Date,News_Senti,Close_USD,Stock_Difference,Twitter_Senti,Stock_Changes
21/6/2019,0.0839599,39.34397943,0.1389118,0.0772,Increase
25/6/2019,0.205719697,39.51188112,0.17064555,0,Increase
4/7/2019,0.238144549,39.35157748,0.54107969,0.5994,Increase
8/7/2019,0.191326066,37.66411763,-1.32308685,0.34,Decrease
10/7/2019,0.199756915,38.56528399,0.42744014,0,Increase
17/7/2019,0.231844714,38.98683078,-0.7574944,-0.1531,Decrease
18/7/2019,0.161877605,39.13249073,0.14565995,-0.34,Increase
23/7/2019,0.271855887,40.12717347,0.03537893,0.0619,Increase
25/7/2019,0.164975915,39.98201439,0.56853181,0.9089,Increase
26/7/2019,0.054119398,39.85131925,-0.13069514,1.7196,Decrease
27/7/2019,0.083552076,0,-0.13069514,0.2488,Decrease
29/7/2019,0.097636913,38.92604152,-0.92527773,0,Decrease
2/8/2019,0.263541667,0,-0.38611675,0.2369,Decrease
6/8/2019,0.139983165,35.85259924,-0.28760108,0.0619,Decrease
7/8/2019,0.126743881,35.53735662,-0.31524262,4.0364,Decrease
8/8/2019,0.070334378,35.27900987,-0.25834675,1.8087,Decrease
14/8/2019,0.230356152,35.98937063,0.84911429,0.4754,Increase
16/8/2019,0.215699167,36.32424922,0.33487859,0,Increase
19/8/2019,0.339467474,36.04172313,-0.28252609,-0.4767,Decrease
21/8/2019,0.216560409,36.99144327,0.18956254,0.8901,Increase
27/8/2019,0.183981508,36.32800814,0.39603797,0.8376,Increase
31/8/2019,0.090285924,0,0.56237696,0,Increase
4/9/2019,0.152975699,36.58949065,0.45545429,0.0619,Increase
6/9/2019,0.126339286,38.83337136,0.66201401,0.0607,Increase
10/9/2019,0.121700298,0,0.48666147,-0.9511,Increase
12/9/2019,0.204593992,0,0.2117539,0.4404,Increase
16/9/2019,0.170854156,39.77859019,0.24680346,0.8555,Increase
17/9/2019,0.16596181,39.42510578,-0.35348441,0,Decrease
18/9/2019,0.150327557,40.0562292,0.63112342,0.596,Increase
19/9/2019,0.120186467,41.15667277,1.10044357,0,Increase
20/9/2019,0.233448122,41.38647387,0.2298011,-0.0815,Increase
25/9/2019,0.038599537,40.7330001,-0.72738539,0.3818,Decrease
26/9/2019,0.38552368,40.95787383,0.22487373,-0.0385,Increase
30/9/2019,0.141547483,40.93295295,0.54575771,3.8549,Increase
1/10/2019,0.157093207,40.62136033,-0.31159262,0.2057,Decrease
2/10/2019,0.115224599,39.45000759,-1.17135274,0,Decrease
5/10/2019,0.043108051,0,-1.17135274,-0.5994,Decrease
7/10/2019,0.221030739,39.91147734,0.46146975,1.1308,Increase
9/10/2019,0.20006509,0,0.89764748,0.1833,Increase
14/10/2019,-0.003329346,42.1977568,0.72142313,1.0957,Increase
15/10/2019,0.091115355,42.24025094,0.04249414,1.1483,Increase
16/10/2019,0.188217306,42.65266957,0.41241863,0.8222,Increase
18/10/2019,0.093373106,42.30943523,-0.52486998,-0.2882,Decrease
22/10/2019,0.194337552,43.63937113,0.70700084,0,Increase
23/10/2019,0.202611966,43.69155702,0.05218589,0,Increase
24/10/2019,0.112101159,43.22198984,-0.46956718,0.814,Decrease
28/10/2019,0.107508117,43.8488243,0.52295276,0.6369,Increase
29/10/2019,0.279782204,43.75121541,-0.09760889,0.6729,Decrease
