Date,Open,High,Low,Close,Adj Close,Volume
10/14/2016,30960,31760,30940,31540,1571.157959,14158950
10/17/2016,31300,32040,30760,31800,1584.109863,12785200
10/18/2016,31440,31900,31440,31780,1583.113647,10384500
10/19/2016,31580,32860,31500,32500,1618.980225,15444550
10/20/2016,32520,33020,32180,32400,1613.998779,10330450
10/21/2016,32120,32260,31760,31780,1583.113647,10477500
10/24/2016,31860,32160,31800,32160,1602.043091,9289950
10/25/2016,32000,32080,31840,31940,1591.084106,9866100
10/26/2016,31940,31980,31240,31340,1561.195313,10534000
10/27/2016,31420,32340,31120,31460,1567.172974,14117000
10/28/2016,31600,32280,31600,32280,1608.020996,10214200
10/31/2016,32320,32780,32220,32780,1632.928345,12067200
11/1/2016,32600,33040,32240,33040,1645.880249,10347400
11/2/2016,32800,33040,32620,32860,1636.913574,10099250
11/3/2016,32600,32800,32120,32320,1610.01355,10341850
11/4/2016,32100,32680,32100,32540,1620.973022,7103850
11/7/2016,32940,33000,32680,32800,1633.924683,7661900
11/8/2016,32980,32980,32700,32880,1637.910034,5417450
11/9/2016,32920,33140,31820,31920,1590.087769,15683600
11/10/2016,32600,33000,32360,32980,1642.891235,11795350
11/11/2016,31700,32360,31700,31960,1592.0802,12836800
11/14/2016,31900,31920,31040,31060,1547.24707,15133300
11/15/2016,31060,31620,30780,30780,1533.298828,13665700
11/16/2016,30800,31280,30800,31160,1552.228516,13308200
11/17/2016,31100,31520,30900,31360,1562.191406,7870550
11/18/2016,31640,31760,31400,31720,1580.124756,9460750
11/21/2016,31300,32120,31300,31860,1587.098999,8180200
11/22/2016,32140,32900,32000,32800,1633.924683,9751100
11/23/2016,33220,33220,32520,32980,1642.891235,12668600
11/24/2016,32980,33040,32660,33000,1643.887573,7757150
11/25/2016,32820,33040,32660,33000,1643.887573,6276900
11/28/2016,33000,33620,32800,33540,1670.787964,13294050
11/29/2016,33800,33960,33380,33540,1670.787964,18081300
11/30/2016,33540,34940,33540,34920,1739.53186,28535200
12/1/2016,34800,35060,34660,34980,1742.520752,15535350
12/2/2016,34480,34760,34140,34540,1720.602173,15352950
12/5/2016,34340,34680,34220,34360,1711.635742,8484600
12/6/2016,34440,35200,34400,34960,1741.524658,14001800
12/7/2016,35040,35480,35040,35440,1765.435425,9603650
12/8/2016,35980,36020,35520,35800,1783.368896,16462550
12/9/2016,35900,35900,35400,35600,1773.406128,10652450
12/12/2016,34660,35360,34660,35040,1745.509644,11414450
12/13/2016,34620,35440,34620,35320,1759.458008,11684450
12/14/2016,35560,35680,35280,35540,1770.417236,7455100
12/15/2016,34820,35500,34820,35180,1752.484131,5773550
12/16/2016,35300,36020,35200,35860,1786.357666,11747700
12/19/2016,35620,36380,35620,35900,1788.350586,5435800
12/20/2016,35920,36400,35840,36240,1805.287476,7615200
12/21/2016,36360,36600,36020,36100,1798.313232,6552100
12/22/2016,36260,36300,35980,36180,1802.298828,6354600
12/23/2016,36020,36080,35600,35640,1775.398682,8334850
12/26/2016,35600,36000,35560,35960,1791.339478,4823600
12/27/2016,35980,36200,35860,35980,1792.335571,4653450
12/28/2016,35840,35980,35600,35760,7558.246094,6662900
12/29/2016,35420,36040,35400,36040,7617.426758,7516450
1/2/2017,35980,36240,35880,36100,7630.10791,4650600
1/3/2017,36280,36620,36020,36480,7710.425293,7357650
1/4/2017,36500,36520,36100,36160,7642.790527,7971750
1/5/2017,36060,36060,35540,35560,7515.973145,10967450
1/6/2017,36180,36440,36040,36200,7651.245117,8880950
1/9/2017,36600,37500,36560,37220,7866.832031,13194900
1/10/2017,37280,37400,37080,37240,7871.05957,9099800
1/11/2017,37520,38560,37420,38280,8090.874512,12018150
1/12/2017,38000,38800,37980,38800,8200.782227,11669150
1/13/2017,38100,38320,37460,37460,7917.558105,15954450
1/16/2017,36860,37820,36320,36660,7748.470215,16611500
1/17/2017,36580,37460,36580,36960,7811.878418,8150700
1/18/2017,37040,37500,36620,36940,7807.651367,8875400
1/19/2017,37720,37920,37020,37480,7921.786133,9418900
1/20/2017,37120,37420,36880,37200,7862.604004,9185000
1/23/2017,37200,38060,37000,38060,8044.374512,8810400
1/24/2017,38120,38580,37880,38160,8065.510742,11048750
1/25/2017,38340,39400,38320,39400,8327.597656,13433850
1/26/2017,39420,40000,39420,39900,8433.277344,15214500
1/31/2017,39900,39900,39460,39460,8340.279297,17992200
2/1/2017,39540,39660,39040,39120,8268.416992,14150400
2/2/2017,39600,39660,39200,39360,8319.143555,15029300
2/3/2017,39400,39500,39180,39460,8340.279297,10386350
2/6/2017,39580,39660,39140,39560,8361.416016,8860700
2/7/2017,39560,39580,38760,38820,8205.007813,14041800
2/8/2017,38740,38780,38200,38400,8116.237305,17092950
2/9/2017,38780,38840,38220,38400,8116.237305,13694150
2/10/2017,38400,38760,38300,38360,8107.782715,11020750
2/13/2017,37740,38060,37720,37960,8023.23877,11102050
2/14/2017,37960,38260,37320,37580,7942.922363,13124150
2/15/2017,37080,37960,37080,37720,7972.512207,14191550
2/16/2017,37800,38360,37780,38020,8035.92041,10226350
2/17/2017,37560,38040,37280,37860,8002.103027,15377450
2/20/2017,38220,38780,38160,38660,8171.19043,7485800
2/21/2017,38540,39560,38420,38940,8230.370117,10562600
2/22/2017,39000,39340,38980,39300,8306.460938,8539450
2/23/2017,39020,39440,39020,39180,8281.098633,10217300
2/24/2017,38960,39100,38060,38220,8078.191406,9296850
2/27/2017,38020,38140,37700,38060,8044.374512,9033700
2/28/2017,38060,38760,37960,38440,8124.691895,15088700
3/2/2017,38420,39860,38420,39720,8395.233398,21249800
3/3/2017,39340,39720,39160,39620,8374.09668,12708700
3/6/2017,39220,40220,39220,40080,8471.323242,12234850
3/7/2017,39800,40320,39800,40200,8496.686523,10553250
3/8/2017,40200,40620,40140,40200,8496.686523,12140950
