,0,0
45,This fucking trade war.2019-05-30 23:53:58+00:000,2019-05-30
46,CAD also hit as trade war intensifies; #CAD -0.21% against other currencies #USDCAD 1.35245 +0.18% #CADJPY 80.876 -0.41% #EURCAD 1.50536 +0.2% #GBPCAD 1.7053 +0.2% #CADCHF 0.74482 -0.25% #AUDCAD 0.93413 +0.12%2019-05-30 23:53:49+00:001,2019-05-30
47,Imagine starting a trade war on TWO fronts.... Imagine that #USApic.twitter.com/qL8VHiD79k2019-05-30 23:53:36+00:001,2019-05-30
48,We're starting a trade war with our #2 trade partner. #MagaNomicshttps://twitter.com/realDonaldTrump/status/1134240653926232064 …2019-05-30 23:53:35+00:001,2019-05-30
49,"Genius idea! A trade war will eventually tank the USA's economy, too- thus removing the incentive to immigrate here! #MAGA!!2019-05-30 23:53:32+00:000",2019-05-30
50,"Worst-Case Trade War Lasting To 2020 Threatens To End Bull Market http://hedgeaccordingly.com/worst-case-trade-war-lasting-to-2020-threatens-to-end-bull-market/ … May 23, 2019@12:15pm #WallSt2019-05-30 23:53:23+00:000",2019-05-30
51,Thoughts on this? #ThursdayThoughts #Mexico #Trade #TradeWars #tradewar https://twitter.com/MSNBC/status/1134244901523218432 …2019-05-30 23:53:22+00:000,2019-05-30
52,Prepared for the trade war...2019-05-30 23:53:18+00:000,2019-05-30
53,Another manifestation of Trump’s dumb-fuck trade war policy. @realDonaldTrump @PressSec @KellyannePolls #FakePresident #LiarInChief #BeBroke #BillionDollarLoser #FuckingMoronhttps://twitter.com/NerdPyle/status/1134244887090438145 …2019-05-30 23:53:08+00:000,2019-05-30
54,Because the China trade war wasn't enough uncertainty for markets to deal with?2019-05-30 23:52:52+00:000,2019-05-30
55,"Trump slaps tariffs on MXN. USDMXN flies 4000 pips thru 19.10 res. This is ~ winning the SB! IRS, this crash nets you from us > $200 million @50%! For damn sure, exclaims our tax lawyer w/o dropping a spill of champ. Basics: Exports threatened by trade war; MXN goes south! pic.twitter.com/Sg0O4IOW8P2019-05-30 23:52:50+00:000",2019-05-30
56,Apparently Trump has given up on the economy and his Presidency. Seems like @realDonaldTrump is intent on taking the entire country down with him. #tariffs #tradewar #incompetence #impeachment #trump #maga2019-05-30 23:52:49+00:000,2019-05-30
57,A full on trade war is the last thing thing they need2019-05-30 23:52:34+00:000,2019-05-30
58,#Tradewar https://themindunleashed.com/2019/05/mom-orders-shirt-3-year-old-fuck-the-police.html?fbclid=IwAR1eBLPEwQT_LK3GVwxxxAHt_e8rY4uyguSvdpTUixRMN6kH_YoGENm3jBg … @ComfortablySmug2019-05-30 23:52:25+00:000,2019-05-30
59,Awesomeness. No reason to leave them out of the trade war disasters2019-05-30 23:52:25+00:000,2019-05-30
60,"Last year’s rotten Halloween pumpkin is now waging a trade war against: 1.- China 2.- The EU 3.- Mexico The only thing he has left is a good economy, is he trying to crash it? https://twitter.com/realDonaldTrump/status/1134240653926232064 …2019-05-30 23:52:19+00:001",2019-05-30
61,"A stupid trade war with China. Official visits to Taiwan and the Dalai Lama. Conflict with everyone, and their brother. A catbird seat once sat upon by Vlad, is, increasingly, a hot seat. President Baby Blimp Trump is weighing war, with ... near, everyone. http://a.msn.com/01/en-us/AAC92ki?ocid=st …2019-05-30 23:52:07+00:000",2019-05-30
62,Costco says 'prices will go up' in the wake of U.S. trade war with China as tariffs rise https://www.usatoday.com/story/money/2019/05/30/costco-says-trade-war-china-ultimately-lead-higher-prices/1292473001/ … via @usatoday2019-05-30 23:52:03+00:002,2019-05-30
63,How much will this cost an American household? the Federal Reserve Bank calculated the cost of the US-China trade war for a typical household. The tab is $831 for 2019. Thanks for punishing our country with your crappy tariffs!2019-05-30 23:52:03+00:000,2019-05-30
64,"An overlooked consequence of the trade war could be even less transparency and truth-telling between nations, writes @tylercowen:https://merct.us/2K8S0LI2019-05-30 23:52:00+00:000",2019-05-30
65,#Trump Costco says 'prices will go up' in the wake of U.S. trade war with China as tariffs rise https://www.usatoday.com/story/money/2019/05/30/costco-says-trade-war-china-ultimately-lead-higher-prices/1292473001/ … via @USATODAY2019-05-30 23:51:32+00:000,2019-05-30
66,Is this some of Trump’s so called “winning”? “China accuses US of 'economic terrorism' as trade war tensions escalate https://www.cnn.com/2019/05/30/asia/china-us-peoples-daily-trade-war-intl/index.html …2019-05-30 23:51:05+00:000,2019-05-30
67,Trade war spreads https://www.bloomberg.com/news/articles/2019-05-30/u-s-to-impose-5-tariff-on-all-goods-from-mexico-trump-says …2019-05-30 23:50:54+00:000,2019-05-30
68,That isn't a trade war. Mexico needs us wayyyyy more than we need them. It's an ultimatum.2019-05-30 23:50:42+00:000,2019-05-30
69,"JUST IN: Dow futures tumble 160+ points after Pres Trump says US will hit all imports from #Mexico with 5% tariff starting June 10 due to flow of migrants, @CNBC rpts; comes amid trade war with China, threatened levies on Europe, talks with Japan: http://cnb.cx/30XEHUA pic.twitter.com/uheKpWw4SU2019-05-30 23:50:41+00:006",2019-05-30
70,China reportedly lining up countries against US in pending trade war https://www.cnbc.com/2018/05/30/china-is-reportedly-looking-to-align-with-other-countries-in-trade-war.html?fbclid=IwAR05uNC_OqMPetJav--BiFtbnLiVHcFKS2Zfg5-OvCn_gZ7XUrCO8aSvGaA …2019-05-30 23:50:36+00:000,2019-05-30
71,They’re potentially about to be a target of the TrAdE wAr2019-05-30 23:50:26+00:000,2019-05-30
72,No. Let's just sit back and watch Trump tank the economy. Trade war with a source of produce to cover for our flooded areas. Food prices are going up any way. Now a source of food imports will jack their prices up as well. High priced food means much more #winning2019-05-30 23:50:11+00:000,2019-05-30
73,Costco says 'prices will go up' in the wake of U.S. trade war with China as tariffs rise https://www.usatoday.com/story/money/2019/05/30/costco-says-trade-war-china-ultimately-lead-higher-prices/1292473001/ …2019-05-30 23:50:02+00:001,2019-05-30
74,Trade War Starts Changing Manufacturers in Hard-to-Reverse Ways https://www.nytimes.com/2019/05/30/business/economy/trump-tariff-manufacturer.html …2019-05-30 23:49:52+00:000,2019-05-30
75,"TRADE WAR DEBATE: Trish Regan (FOX) vs Liu Xin (CGTN) https://youtu.be/VS5cpXpw_9c via @YouTube I really appreciate the publication of this blogger, very neutral and clear.2019-05-30 23:49:49+00:000",2019-05-30
