,0,neg,neu,pos
137,['Live Webinar 82019 1  2 pm CT Why You Need to Modernize Disaster Recovery with DRaaS led by Analyst '],0.194,0.806,0.0
138,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],0.0,0.87,0.13
139,['For the foreseeable future systems cant have intent to be creative Thats where I kind of define or draw a dist '],0.0,0.868,0.132
140,['RT  The future of work is the topic on this  AIMinute with  futureofwork AI wages jobs AI automation e'],0.0,1.0,0.0
141,['In this Voices in Data Storage Podcast  Ep 20 host  speaks with Phill Gilbert  of Hewlet '],0.0,1.0,0.0
142,['Live WEBINAR GigaOm Analyst  and  Dan DOraziodiscuss why a dual approach to analytics '],0.0,1.0,0.0
143,[' explores cloud performance issues related to cloudcomputing complexity with a a look at  '],0.0,1.0,0.0
144,['CIO Speaks Podcast Ep 7  Host Steve Ginsberg  speaks with executive digital adviser and consultant Joan '],0.0,1.0,0.0
145,['Voices in DevOps  Episode 9 A Conversation with Manuel Pais Author of Team Topologies Host Jon Collins  s '],0.0,1.0,0.0
146,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],0.17,0.83,0.0
147,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],0.0,0.822,0.178
148,['RT  Selfdriving truck is the topic on this  AIMinute with  selfdrivingvehicles driverlesscars AI automat'],0.0,1.0,0.0
149,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],0.0,0.87,0.13
150,['For the foreseeable future systems cant have intent to be creative Thats where I kind of define or draw a dist '],0.0,0.868,0.132
151,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],0.17,0.83,0.0
152,['In this Voices in Data Storage Podcast  Ep 20 host  speaks with Phill Gilbert  of Hewlet '],0.0,1.0,0.0
153,[' explores cloud performance issues related to cloudcomputing complexity with a a look at  '],0.0,1.0,0.0
154,['CIO Speaks Podcast Ep 7  Host Steve Ginsberg  speaks with executive digital adviser and consultant Joan '],0.0,1.0,0.0
155,['In this episode of Voices in Cloud Podcast  Episode 10 Host  speaks with  of  a '],0.0,1.0,0.0
156,['Voices in DevOps  Episode 9 A Conversation with Manuel Pais Author of Team Topologies Host Jon Collins  s '],0.0,1.0,0.0
157,['Live WEBINAR GigaOm Analyst  and  Dan DOraziodiscuss why a dual approach to analytics '],0.0,1.0,0.0
158,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],0.0,0.822,0.178
159,['For the foreseeable future systems cant have intent to be creative Thats where I kind of define or draw a dist '],0.0,0.868,0.132
160,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],0.0,0.87,0.13
161,[' explores cloud performance issues related to cloudcomputing complexity with a a look at  '],0.0,1.0,0.0
162,['RT  Hybrid Cloud IoT Blockchain Artificial IntelligenceMachineLearning Containers amp DevOps Oh MyWhat each of thes'],0.0,1.0,0.0
163,['Voices in DevOps  Episode 9 A Conversation with Manuel Pais Author of Team Topologies Host Jon Collins  s '],0.0,1.0,0.0
164,['CIO Speaks Podcast Ep 7  Host Steve Ginsberg  speaks with executive digital adviser and consultant Joan '],0.0,1.0,0.0
165,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],0.17,0.83,0.0
166,['In this episode of Voices in Cloud Podcast  Episode 10 Host  speaks with  of  a '],0.0,1.0,0.0
167,['Live WEBINAR GigaOm Analyst  and  Dan DOraziodiscuss why a dual approach to analytics '],0.0,1.0,0.0
168,['In this Voices in Data Storage Podcast  Ep 20 host  speaks with Phill Gilbert  of Hewlet '],0.0,1.0,0.0
169,['RT  AGI predictions is the topic on this  AIMinute with  Topics AGI Zuckerberg Kurzweil singularity Mus'],0.0,1.0,0.0
170,['RT  Thank you Jeff Ton and Intel for the interview Thanks to all the folks Ive worked with along the way'],0.0,0.779,0.221
171,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],0.0,0.87,0.13
172,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],0.0,0.822,0.178
173,['Analyst  examines key vendors in the datalake space along w storage amp query technologies in this Gig '],0.0,1.0,0.0
174,['RT  Watch this webcast featuring  GigaOm Analyst William McKnight and  Verticas Paige Roberts to learn ab'],0.0,1.0,0.0
175,['RT  The rapid development of technology is the topic on this  AIMinute with  ai automation futureofwork '],0.0,1.0,0.0
176,['Analyst  examines key vendors in the datalake space along w storage amp query technologies in this Gig '],0.0,1.0,0.0
177,['RT  GigaOm CEO  chats with todays leaders in AI on VoicesinAI Podcast Listen now  Head of AI Inno'],0.0,1.0,0.0
178,['RT  Hollywoods take on AI is the topic on this  AIMinute with  scifi hollywood AI AIFears matrix term'],0.0,1.0,0.0
179,['Todays leading minds talk AI with GigaOm CEO  on VoicesinAI Podcast This week   '],0.0,1.0,0.0
180,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],0.17,0.83,0.0
181,['Voices in DevOps  Episode 9 A Conversation with Manuel Pais Author of Team Topologies Host Jon Collins  s '],0.0,1.0,0.0
182,['In this Voices in Data Storage Podcast  Ep 20 host  speaks with Phill Gilbert  of Hewlet '],0.0,1.0,0.0
183,['Live WEBINAR GigaOm Analyst  and  Dan DOraziodiscuss why a dual approach to analytics '],0.0,1.0,0.0
184,['For the foreseeable future systems cant have intent to be creative Thats where I kind of define or draw a dist '],0.0,0.868,0.132
185,['In this episode of Voices in Cloud Podcast  Episode 10 Host  speaks with  of  a '],0.0,1.0,0.0
186,['Enabling Digital Transformation with Hybrid Cloud Data Management a GigaOm Market Landscape Report on managing '],0.0,1.0,0.0
187,['Voices in Data Storage Podcast  Ep 19 Host  speaks with Eric Bednash  of  Syste '],0.0,1.0,0.0
188,['CIO Speaks Podcast  Episode 6 Part II  Host Steve Ginsberg  speaks with Bill Norton of  about '],0.0,1.0,0.0
189,['FREE BIZ amp TECH REPORT Modernizing Insurance Data Platforms to Improve Governance and Enrich Customer Experience '],0.0,0.847,0.153
190,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],0.0,0.87,0.13
191,['RT  Using AI to improve healthcare is the topic on this  AIMinute with  Topics AI artificialintelligence h'],0.0,0.847,0.153
192,['RT  Guest Chris Duffey Head of AI Innovation and Strategy at   talks with  about creativity amp how machine '],0.0,0.766,0.234
193,['RT  We havent reached the point where we can simply point a machine at a big pile of data amp have it figure everything out Ins'],0.053,0.947,0.0
194,['RT  AGI the human brain and IBMs Watson are all topics on this  AIMinute with  AGI Watson AI artificia'],0.0,1.0,0.0
195,['Analyst  examines key vendors in the datalake space along w storage amp query technologies in this Gig '],0.0,1.0,0.0
196,['Voices in DevOps  Episode 9 A Conversation with Manuel Pais Author of Team Topologies Host Jon Collins  s '],0.0,1.0,0.0
197,['In this episode of Voices in Cloud Podcast  Episode 10 Host  speaks with  of  a '],0.0,1.0,0.0
198,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],0.17,0.83,0.0
199,['For the foreseeable future systems cant have intent to be creative Thats where I kind of define or draw a dist '],0.0,0.868,0.132
200,['Live WEBINAR GigaOm Analyst  and  Dan DOraziodiscuss why a dual approach to analytics '],0.0,1.0,0.0
201,['RT  Technology gives us new experiences new abilities and new problems Thus we need new words to keep up with this changing wor'],0.105,0.817,0.078
202,['RT  Happy Friday Do you know the true cost of your enterprise mobility decisions Spectralink partnered with '],0.0,0.711,0.289
203,['Enabling Digital Transformation with Hybrid Cloud Data Management a GigaOm Market Landscape Report on managing '],0.0,1.0,0.0
204,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],0.0,0.87,0.13
205,['FREE BIZ amp TECH REPORT Modernizing Insurance Data Platforms to Improve Governance and Enrich Customer Experience '],0.0,0.847,0.153
206,['Voices in Data Storage Podcast  Ep 19 Host  speaks with Eric Bednash  of  Syste '],0.0,1.0,0.0
207,['Voices in DevOps Podcast  Ep 8 A Conversation with host Jon Collins  amp guest Christina Noren  of '],0.0,1.0,0.0
208,['CIO Speaks Podcast  Episode 6 Part II  Host Steve Ginsberg  speaks with Bill Norton of  about '],0.0,1.0,0.0
209,['Analyst  examines key vendors in the datalake space along w storage amp query technologies in this Gig '],0.0,1.0,0.0
210,['RT  One of my favorite quotes from the sharp amp insightful George Carlin quote comedian humor mondaymotivation georgecarli'],0.0,0.661,0.339
211,['Live WEBINAR GigaOm Analyst  and  Dan DOraziodiscuss why a dual approach to analytics '],0.0,1.0,0.0
212,['For the foreseeable future systems cant have intent to be creative Thats where I kind of define or draw a dist '],0.0,0.868,0.132
213,['In this episode of Voices in Cloud Podcast  Episode 10 Host  speaks with  of  a '],0.0,1.0,0.0
